x,timestamps
790,1762472465.0788302
791,1762472465.0788302
792,1762472465.0788302
793,1762472465.0788302
794,1762472465.0788302
795,1762472465.0788302
796,1762472465.0788302
797,1762472465.0788302
798,1762472465.0788302
799,1762472465.0788302
800,1762472465.0788302
801,1762472465.0788302
802,1762472465.0788302
803,1762472465.0788302
804,1762472465.0788302
805,1762472465.0788302
806,1762472465.0788302
807,1762472465.0788302
808,1762472465.0788302
809,1762472465.0788302
810,1762472465.0788302
811,1762472465.0788302
812,1762472465.0788302
813,1762472465.0788302
814,1762472465.0788302
815,1762472465.0788302
816,1762472465.0788302
817,1762472465.0788302
818,1762472465.0788302
819,1762472465.0788302
820,1762472465.0788302
821,1762472465.0788302
822,1762472465.0788302
823,1762472465.0788302
824,1762472465.0788302
825,1762472465.0788302
826,1762472465.0788302
827,1762472465.0788302
828,1762472465.0788302
829,1762472465.0788302
830,1762472465.0788302
831,1762472465.0788302
832,1762472465.0788302
833,1762472465.0788302
834,1762472465.0788302
835,1762472465.0788302
836,1762472465.0788302
837,1762472465.0788302
838,1762472465.0788302
839,1762472465.0788302
840,1762472465.0788302
841,1762472465.0788302
842,1762472465.0788302
843,1762472465.0788302
844,1762472465.0788302
845,1762472465.0788302
846,1762472465.0788302
847,1762472465.0788302
848,1762472465.0788302
849,1762472465.0788302
850,1762472465.0788302
851,1762472465.0788302
852,1762472465.0788302
853,1762472465.0788302
854,1762472465.0788302
855,1762472465.0788302
856,1762472465.0788302
857,1762472465.0788302
858,1762472465.0788302
859,1762472465.0788302
860,1762472465.0788302
861,1762472465.0788302
862,1762472465.0788302
863,1762472465.0788302
864,1762472465.0788302
865,1762472465.0788302
866,1762472465.0788302
867,1762472465.0788302
868,1762472465.0788302
869,1762472465.0788302
870,1762472465.0788302
871,1762472465.0788302
872,1762472465.0788302
873,1762472465.0788302
874,1762472465.0788302
875,1762472465.0788302
876,1762472465.0788302
877,1762472465.0788302
878,1762472465.0788302
879,1762472465.0788302
880,1762472465.0788302
881,1762472465.0788302
882,1762472465.0788302
883,1762472465.0788302
884,1762472465.0788302
885,1762472465.0788302
886,1762472465.0788302
887,1762472465.0788302
888,1762472465.0788302
889,1762472465.0788302
890,1762472465.0788302
891,1762472465.0788302
892,1762472465.0788302
893,1762472465.0788302
894,1762472465.0788302
895,1762472465.0788302
896,1762472465.0788302
897,1762472465.0788302
898,1762472465.0788302
899,1762472465.0788302
900,1762472465.0788302
901,1762472465.0788302
902,1762472465.0788302
903,1762472465.0788302
904,1762472465.0788302
905,1762472465.0788302
906,1762472465.0788302
907,1762472465.0788302
908,1762472465.0788302
909,1762472465.0788302
910,1762472465.0788302
911,1762472465.0788302
912,1762472465.0788302
913,1762472465.0788302
914,1762472465.0788302
915,1762472465.0788302
916,1762472465.0788302
917,1762472465.0788302
918,1762472465.0788302
919,1762472465.0788302
920,1762472465.0788302
921,1762472465.0788302
922,1762472465.0788302
923,1762472465.0788302
924,1762472465.0788302
925,1762472465.0788302
926,1762472465.0788302
927,1762472465.0788302
928,1762472465.0788302
929,1762472465.0788302
930,1762472465.0788302
931,1762472465.0788302
932,1762472465.0788302
933,1762472465.0788302
934,1762472465.0788302
935,1762472465.0788302
936,1762472465.0788302
937,1762472465.0788302
938,1762472465.0788302
939,1762472465.0788302
940,1762472465.0788302
941,1762472465.0788302
942,1762472465.0788302
943,1762472465.0788302
944,1762472465.0788302
945,1762472465.0788302
946,1762472465.0788302
947,1762472465.0788302
948,1762472465.0788302
949,1762472465.0788302
950,1762472465.0788302
951,1762472465.0788302
952,1762472465.0788302
953,1762472465.0788302
954,1762472465.0788302
955,1762472465.0788302
956,1762472465.0788302
957,1762472465.0788302
958,1762472465.0788302
959,1762472465.0788302
960,1762472465.0788302
961,1762472465.0788302
962,1762472465.0788302
963,1762472465.0788302
964,1762472465.0788302
965,1762472465.0788302
966,1762472465.0788302
967,1762472465.0788302
968,1762472465.0788302
969,1762472465.0788302
970,1762472465.0788302
971,1762472465.0788302
972,1762472465.0788302
973,1762472465.0788302
974,1762472465.0788302
975,1762472465.0788302
976,1762472465.0788302
977,1762472465.0788302
978,1762472465.0788302
979,1762472465.0788302
980,1762472465.0788302
981,1762472465.0788302
982,1762472465.0788302
983,1762472465.0788302
984,1762472465.0788302
985,1762472465.0788302
986,1762472465.0788302
987,1762472465.0788302
988,1762472465.0788302
989,1762472465.0788302
990,1762472465.0788302
991,1762472465.0788302
992,1762472465.0788302
993,1762472465.0788302
994,1762472465.0788302
995,1762472465.0788302
996,1762472465.0788302
997,1762472465.0788302
998,1762472465.0788302
999,1762472465.0788302
1000,1762472465.0788302
1001,1762472465.0788302
1002,1762472465.0788302
1003,1762472465.0788302
1004,1762472465.0788302
1005,1762472465.0788302
1006,1762472465.0788302
1007,1762472465.0788302
1008,1762472465.0788302
1009,1762472465.0788302
1010,1762472465.0788302
1011,1762472465.0788302
1012,1762472465.0788302
1013,1762472465.0788302
1014,1762472465.0788302
1015,1762472465.0788302
1016,1762472465.0788302
1017,1762472465.0788302
1018,1762472465.0788302
1019,1762472465.0788302
1020,1762472465.0788302
1021,1762472465.0788302
1022,1762472465.0788302
1023,1762472465.0788302
1024,1762472465.0788302
1025,1762472465.0788302
1026,1762472465.0788302
1027,1762472465.0788302
1028,1762472465.0788302
1029,1762472465.0788302
1030,1762472465.0788302
1031,1762472465.0788302
1032,1762472465.0788302
1033,1762472465.0788302
1034,1762472465.0788302
1035,1762472465.0788302
1036,1762472465.0788302
1037,1762472465.0788302
1038,1762472465.0788302
1039,1762472465.0788302
1040,1762472465.0788302
1041,1762472465.0788302
1042,1762472465.0788302
1043,1762472465.0788302
1044,1762472465.0788302
1045,1762472465.0788302
1046,1762472465.0788302
1047,1762472465.0788302
1048,1762472465.0788302
1049,1762472465.0788302
1050,1762472465.0788302
1051,1762472465.0788302
1052,1762472465.0788302
1053,1762472465.0788302
1054,1762472465.0788302
1055,1762472465.0788302
1056,1762472465.0788302
1057,1762472465.0788302
1058,1762472465.0788302
1059,1762472465.0788302
1060,1762472465.0788302
1061,1762472465.0788302
1062,1762472465.0788302
1063,1762472465.0788302
1064,1762472465.0788302
1065,1762472465.0788302
1066,1762472465.0788302
1067,1762472465.0788302
1068,1762472465.0788302
1069,1762472465.0788302
1070,1762472465.0788302
1071,1762472465.0788302
1072,1762472465.0788302
1073,1762472465.0788302
1074,1762472465.0788302
1075,1762472465.0788302
1076,1762472465.0788302
1077,1762472465.0788302
1078,1762472465.0788302
1079,1762472465.0788302
1080,1762472465.0788302
1081,1762472465.0788302
1082,1762472465.0788302
1083,1762472465.0788302
1084,1762472465.0788302
1085,1762472465.0788302
1086,1762472465.0788302
1087,1762472465.0788302
1088,1762472465.0788302
1089,1762472465.0788302
1090,1762472465.0788302
1091,1762472465.0788302
1092,1762472465.0788302
1093,1762472465.0788302
1094,1762472465.0788302
1095,1762472465.0788302
1096,1762472465.0788302
1097,1762472465.0788302
1098,1762472465.0788302
1099,1762472465.0788302
1100,1762472465.0788302
1101,1762472465.0788302
1102,1762472465.0788302
1103,1762472465.0788302
1104,1762472465.0788302
1105,1762472465.0788302
1106,1762472465.0788302
1107,1762472465.0788302
1108,1762472465.0788302
1109,1762472465.0788302
1110,1762472465.0788302
1111,1762472465.0788302
1112,1762472467.639544
1113,1762472467.639544
1114,1762472467.639544
1115,1762472467.639544
1116,1762472467.639544
1117,1762472467.639544
1118,1762472467.639544
1119,1762472467.639544
1120,1762472467.639544
1121,1762472467.639544
1122,1762472467.639544
1123,1762472467.639544
1124,1762472467.639544
1125,1762472467.639544
1126,1762472467.639544
1127,1762472467.639544
1128,1762472467.639544
1129,1762472467.639544
1130,1762472467.639544
1131,1762472467.639544
1132,1762472467.639544
1133,1762472467.639544
1134,1762472467.639544
1135,1762472467.639544
1136,1762472467.639544
1137,1762472467.639544
1138,1762472467.639544
1139,1762472467.639544
1140,1762472467.639544
1141,1762472467.639544
1142,1762472467.639544
1143,1762472467.639544
1144,1762472467.639544
1145,1762472467.639544
1146,1762472467.639544
1147,1762472467.639544
1148,1762472467.639544
1149,1762472467.639544
1150,1762472467.639544
1151,1762472467.639544
1152,1762472467.639544
1153,1762472467.639544
1154,1762472467.639544
1155,1762472467.639544
1156,1762472467.639544
1157,1762472467.639544
1158,1762472467.639544
1159,1762472467.639544
1160,1762472467.639544
1161,1762472467.639544
1162,1762472467.639544
1163,1762472467.639544
1164,1762472467.639544
1165,1762472467.639544
1166,1762472467.639544
1167,1762472467.639544
1168,1762472467.639544
1169,1762472467.639544
1170,1762472467.639544
1171,1762472467.639544
1172,1762472467.639544
1173,1762472467.639544
1174,1762472467.639544
1175,1762472467.639544
1176,1762472467.639544
1177,1762472467.639544
1178,1762472467.639544
1179,1762472467.639544
1180,1762472467.639544
1181,1762472467.639544
1182,1762472467.639544
1183,1762472467.639544
1184,1762472467.639544
1185,1762472467.639544
1186,1762472467.639544
1187,1762472467.639544
1188,1762472467.639544
1189,1762472467.639544
1190,1762472467.639544
1191,1762472467.639544
1192,1762472467.639544
1193,1762472467.639544
1194,1762472467.639544
1195,1762472467.639544
1196,1762472467.639544
1197,1762472467.639544
1198,1762472467.639544
1199,1762472467.639544
1200,1762472467.639544
1201,1762472467.639544
1202,1762472467.639544
1203,1762472467.639544
1204,1762472467.639544
1205,1762472467.639544
1206,1762472467.639544
1207,1762472467.639544
